species,pos_trt,p_med,lo,hi,p_gt_half
janthiniformis,YT6,0.6307147431304053,0.4998390728204075,0.7499442315844601,0.974875
janthiniformis,DT6,0.678385686193227,0.5497143359491921,0.7893880183968036,0.996
janthiniformis,Y6D6,0.5931163700783344,0.4375611822851094,0.7361294944307845,0.8905
janthiniformis,D6Y6,0.6301138308830574,0.49439160324711584,0.7534082082698329,0.969125
janthiniformis,RAD,0.6209010510896351,0.4659322431866584,0.753967219589919,0.9425
janthiniformis,HBR,0.7012204308441623,0.5476197925449389,0.8252663077776077,0.993625
janthinus,YT6,0.6610813308877908,0.511237891514157,0.7909648906536791,0.9805
janthinus,DT6,0.49524068499602547,0.34769997430288924,0.6446260365421707,0.47425
janthinus,Y6D6,0.48043363411972073,0.3287362303315436,0.6314632892005633,0.401375
janthinus,D6Y6,0.5389213483466078,0.37931245495086524,0.6927082824458077,0.686
janthinus,RAD,0.5467346836795681,0.39309426676841747,0.6934953088050589,0.724375
janthinus,HBR,0.5058510422740983,0.34949376018423206,0.6603630709447353,0.5265
