"","janthiniformis","janthinus"
"2023-05-31",1,0
"2023-06-01",1,0
"2023-06-02",1,0
"2023-06-06",1,0
"2023-06-07",1,0
"2023-06-08",1,0
"2023-06-09",1,0
"2023-06-10",1,0
"2023-06-13",1,0
"2023-06-14",1,0
"2023-06-15",2,0
"2023-06-16",2,0
"2023-06-19",2,0
"2023-06-20",2,0
"2023-06-21",1,0
"2023-06-22",2,0
"2023-06-27",2,0
"2023-06-28",2,0
"2023-06-29",1,0
"2023-11-29",0,1
"2023-11-30",0,1
"2023-12-01",0,1
"2023-12-05",0,1
"2023-12-07",0,1
"2023-12-08",0,1
"2023-12-12",0,2
"2023-12-13",0,2
"2023-12-14",0,2
"2023-12-15",0,2
"2023-12-19",0,2
"2023-12-21",0,2
"2024-01-04",0,2
"2024-01-05",0,2
"2024-01-10",0,2
