comparison,diff_med,lo,hi,pd
YT6 vs DT6,0.21116149969506984,-0.04399521661721021,0.46000406371831676,0.94875
YT6 vs HBR,0.2225329780150303,-0.0479786521034728,0.48345527014017003,0.946625
YT6 vs Y6D6,0.1425214160705272,-0.1333123918703212,0.4032197441720153,0.848375
YT6 vs D6Y6,0.12070735724878501,-0.13890781217630094,0.37933124683621267,0.81425
RAD vs HBR,0.12014706119847646,-0.16987735374693064,0.408741562175035,0.788125
YT6 vs RAD,0.10382118414054642,-0.16053530375909025,0.36357528206772677,0.774875
DT6 vs RAD,-0.10674711388944408,-0.3904851884656346,0.1645259623992615,0.770875
D6Y6 vs HBR,0.10355104207890067,-0.18907403630882044,0.39132718954177315,0.753625
DT6 vs D6Y6,-0.09065630589981727,-0.3724214201225305,0.18383092863547396,0.734
Y6D6 vs HBR,0.07983517222249817,-0.21599789393066102,0.381105633019986,0.70675
DT6 vs Y6D6,-0.068683758851109,-0.34981546507623923,0.21067364617752407,0.68825
Y6D6 vs RAD,-0.036283830822579743,-0.3401804524828116,0.25203790087818223,0.597
Y6D6 vs D6Y6,-0.022882442972806644,-0.3052069946985607,0.2683212003202202,0.560875
D6Y6 vs RAD,-0.01697957496240507,-0.30403486127233914,0.2674301079044837,0.55
DT6 vs HBR,0.01074409455760375,-0.2743183760091257,0.29678444616075894,0.531625
